- [ ] https://job-boards.greenhouse.io/humeai/jobs/4775962008 | Hume AI | AI Researcher | NYC, San Jose, or Remote | posted: 2025-06-20
- [ ] https://job-boards.greenhouse.io/humeai/jobs/4003488008 | Hume AI | Senior/Staff AI Research Engineer | NYC, San Jose, or Remote | posted: 2024-02-23
- [ ] https://jobs.ashbyhq.com/bland/a3a383e0-9c15-4777-a95b-536cb8c1174c | Bland AI | Senior Infrastructure Engineer | San Francisco | posted: 2026-03-25
- [ ] https://jobs.ashbyhq.com/bland/824f7ebb-6d71-4484-bc7d-a2bcd4441a70 | Bland AI | Agent Solutions Engineer | San Francisco | posted: 2026-05-28
- [ ] https://jobs.ashbyhq.com/bland/ea532833-f3d8-4dad-b5b2-f9bbeaa1a1a5 | Bland AI | Enterprise Solutions Engineer | San Francisco or Remote | posted: 2026-08-06
- [ ] https://jobs.ashbyhq.com/vapi/adbc573f-7267-491e-8671-4d5470238aae | Vapi | Agent Strategist - SF | San Francisco · New York · United States | posted: 2026-03-23
- [ ] https://jobs.ashbyhq.com/vapi/854a9bf5-e330-4afa-9c0f-38c3d6084808 | Vapi | Member of Technical Staff, Forward Deployed | San Francisco | posted: 2026-05-21
- [ ] https://jobs.ashbyhq.com/vapi/72ec9643-39c2-47ae-b04e-cba4e02b0966 | Vapi | Agent Strategist - NYC | New York | posted: 2026-07-03
- [ ] https://jobs.ashbyhq.com/vapi/2d702840-a588-4273-8b98-49ed815c0c50 | Vapi | Member of Technical Staff, DevOps | San Francisco | posted: 2026-06-03
- [ ] https://jobs.ashbyhq.com/vapi/c321a2f2-5678-49e2-ba90-a424971e8b94 | Vapi | Solutions Engineering Manager | San Francisco | posted: 2026-07-03
- [ ] https://jobs.ashbyhq.com/vapi/e7f4cc7d-1d49-4767-9556-175d8f0069fd | Vapi | Solutions Engineer - SF | San Francisco | posted: 2026-07-03
- [ ] https://jobs.ashbyhq.com/vapi/dce1928f-b432-4d6b-8c2f-b7c63c672310 | Vapi | Solutions Engineer - EMEA | Amsterdam · EMEA | posted: 2026-07-03
- [ ] https://jobs.ashbyhq.com/vapi/03532365-7180-4999-b534-24595884aeb9 | Vapi | Solutions Engineer - NY | New York | posted: 2026-07-09
- [ ] https://jobs.ashbyhq.com/vapi/4fbfa699-a543-49da-857c-64a2c990fd06 | Vapi | Product Designer — AI UX / Product Experience | San Francisco | posted: 2026-07-15
- [ ] https://jobs.ashbyhq.com/vapi/0d4f1420-2590-4a38-aac4-3efda12eadb0 | Vapi | Member of Technical Staff, Agentic Developer Experience | San Francisco | posted: 2026-08-25
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8209823002 | Airtable | Senior Mid Market Account Executive, AI Native | Austin, TX | posted: 2026-06-15
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8498915002 | Airtable | Senior Solutions Architect | Remote - US | posted: 2026-04-16
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8597941002 | Airtable | Senior Solutions Architect- West Coast | Remote-US | posted: 2026-06-17
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4947868101 | Parloa | Forward Deployed Engineer, DevOps | New York Office | posted: 2026-08-06
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4604587101 | Parloa | Forward Deployed Engineer - US | New York Office | posted: 2025-08-18
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4959144101 | Parloa | Manager, Agent Architecture | Berlin Office; London Office | posted: 2026-08-25
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4959301101 | Parloa | Manager, Forward Deployed Engineering | Berlin Office; London Office; Munich Office; Remotely in Germany; Remotely in the UK | posted: 2026-08-24
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4871790101 | Parloa | Senior Agent Architect | New York Office; Remotely in the USA | posted: 2026-05-20
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4959298101 | Parloa | Senior Forward Deployed Engineer (France) | France; Paris | posted: 2026-08-24
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4903164101 | Parloa | Sr Agent Architect (France) | France; Paris | posted: 2026-06-19
- [ ] https://job-boards.eu.greenhouse.io/parloa/jobs/4907496101 | Parloa | Sr Partner Agent Architect (Germany) | Berlin Office; Munich Office; Remotely in Germany | posted: 2026-06-24
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7820671 | Intercom | AI Infrastructure Engineer | Dublin, Ireland | posted: 2026-04-17
- [ ] https://job-boards.greenhouse.io/intercom/jobs/5298461 | Intercom | Engineering Manager - AI Helpdesk | Dublin, Ireland | posted: 2023-08-15
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7818585 | Intercom | Engineering Manager, AI Models Infrastructure | Dublin, Ireland | posted: 2026-04-15
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7556413 | Intercom | Forward Deployed Software Engineer | London, England | posted: 2026-01-26
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8145718 | Intercom | Manager, Solutions Engineering | Sydney, Australia | posted: 2026-08-27
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8128393 | Intercom | Senior AI Deployment Consultant | San Francisco, California | posted: 2026-08-18
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7314809 | Intercom | Senior Data Scientist - AI Tooling | Dublin, Ireland; London, England | posted: 2025-10-10
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8096347 | Intercom | Senior Engineering Manager, Customer Agent | London, England | posted: 2026-07-30
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7218259 | Intercom | Senior Forward Deployed Engineer | Dublin, Ireland | posted: 2025-11-18
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7763257 | Intercom | Senior Manager, Forward Deployed Engineering | San Francisco, California | posted: 2026-03-27
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8155204 | Intercom | Senior Manager, Solutions Engineering | London, England | posted: 2026-08-26
- [ ] https://job-boards.greenhouse.io/intercom/jobs/6276021 | Intercom | Senior Product Engineer, AI | Dublin, Ireland; London, England | posted: 2024-09-27
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8122767 | Intercom | Senior Solutions Engineer | San Francisco, California | posted: 2026-08-26
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8143139 | Intercom | Senior Solutions Engineer- LATAM | Chicago, Illinois | posted: 2026-08-20
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7594453 | Intercom | Solutions Architect | Dublin, Ireland | posted: 2026-02-12
- [ ] https://job-boards.greenhouse.io/intercom/jobs/8123007 | Intercom | Solutions Architect -Spanish Speaking | NYC, Remote; San Francisco, California | posted: 2026-08-20
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7377200 | Intercom | Staff AI Product Manager | Dublin, Ireland | posted: 2025-11-20
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7462110 | Intercom | Staff Forward Deployed Engineer | London, England | posted: 2025-12-11
- [ ] https://job-boards.greenhouse.io/intercom/jobs/7393950 | Intercom | Staff Product Engineer, AI | Dublin, Ireland | posted: 2025-11-13
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6122437004 | Vercel | DevRel Engineer, Agentic Infrastructure | Hybrid - San Francisco, New York City, Austin | posted: 2026-07-22
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6120051004 | Vercel | Director of Forward Deployed Engineering | Hybrid - San Francisco, New York City, Austin | posted: 2026-07-20
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6119846004 | Vercel | Director, Solutions Architect | Hybrid - San Francisco, New York City, Austin | posted: 2026-07-20
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5778418004 | Vercel | Forward-Deployed Engineer | Hybrid - London, Berlin | posted: 2026-01-22
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6016765004 | Vercel | Growth Marketing Manager, Agent Stack | Hybrid - San Francisco, New York City, Austin | posted: 2026-06-12
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5806456004 | Vercel | Manager, Solutions Architecture | Hybrid - San Francisco, New York City, Austin | posted: 2026-02-18
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6134374004 | Vercel | Member of the Technical Staff, Internal Agent | Remote - United States | posted: 2026-08-05
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6132416004 | Vercel | Partner Solutions Engineer, EMEA | Hybrid - London, Berlin | posted: 2026-08-07
- [ ] https://job-boards.greenhouse.io/vercel/jobs/6134464004 | Vercel | Senior Financial Systems Administrator | Remote - India | posted: 2026-08-07
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5995789004 | Vercel | Senior Manager, Solutions Architect | Remote - Australia | posted: 2026-05-21
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5704320004 | Vercel | Software Engineer, Agent | Hybrid - New York City | posted: 2025-11-20
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5798406004 | Vercel | Software Engineer, AI Gateway | Hybrid - San Francisco, New York City | posted: 2026-02-12
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5474915004 | Vercel | Software Engineer, AI SDK | Hybrid - San Francisco, New York City | posted: 2025-03-12
- [ ] https://job-boards.greenhouse.io/vercel/jobs/5806749004 | Vercel | Solutions Architect | Hybrid - San Francisco, New York City, Austin | posted: 2026-02-18
- [ ] https://jobs.ashbyhq.com/deepgram/1395ef4d-883a-4006-85a1-4e7d44623431 | Deepgram | Pre-Sales Solutions Engineer (EST or PST) | USA / Remote | posted: 2026-04-14
- [ ] https://jobs.ashbyhq.com/deepgram/7cf277bc-a192-4007-a77a-fafbf8276a5e | Deepgram | Research Staff, Voice AI Foundations | USA / Remote · San Francisco, CA · San Francisco · United States · Ann Arbor, MI | posted: 2026-08-23
- [ ] https://jobs.ashbyhq.com/deepgram/844ec2d9-4256-4be0-a6c6-78ebf1391a78 | Deepgram | Solutions Architect (EST or PST) | USA / Remote | posted: 2026-04-16
- [ ] https://jobs.ashbyhq.com/deepgram/7ac1a5bc-f305-4f2a-a547-394566a549b2 | Deepgram | Senior Pre-Sales Solutions Engineer - Europe | EU / Remote | posted: 2026-03-17
